User_Id,location_id,review_rating
2,549631,4.5
2,325691,4.5
5,325684,4.5
5,568534,4.5
9,6280798,4.5
2,541911,4.5
1,1799150,4.5
8,1870687,4.5
5,546614,4.0
8,505717,4.5
10,325619,4.0
3,1801562,4.0
9,1801608,4.0
8,459767,4.0
2,590811,4.0
8,3318917,4.0
5,502854,4.5
9,505768,4.0
5,1797534,4.0
2,311591,4.0
7,2050636,4.0
8,1864817,4.0
5,561364,4.0
2,1889821,4.0
4,7296243,4.0
10,311519,4.0
10,2050819,4.5
9,1801008,4.5
2,1141961,4.5
2,593151,4.0
10,501329,4.0
5,1930394,4.0
6,1645935,4.0
5,5114484,4.0
4,3485073,4.5
8,548007,4.0
4,325693,4.0
9,321018,4.0
1,1807810,4.5
7,555286,4.0
6,1893715,4.5
6,1951415,4.0
8,2003297,4.5
8,1577097,4.5
3,543472,4.0
3,593052,4.0
7,1851166,4.0
8,317417,4.0
6,1805525,4.0
3,553592,4.5
9,338238,4.5
4,1805343,4.5
7,1795846,4.5
7,2248116,4.5
9,1438468,4.5
9,1801218,4.5
10,494919,4.0
3,488842,4.0
9,513668,4.5
8,1652947,4.0
2,2003081,4.5
3,517692,4.0
1,2050820,4.5
2,487231,4.0
2,315461,4.0
3,1793342,4.5
5,739084,4.0
5,645404,4.0
10,1978099,4.0
9,1590798,4.0
7,2051166,4.5
10,502989,4.0
2,12882071,5.0
1,482100,4.0
1,1645910,4.0
4,321163,4.5
3,321092,4.0
1,1527710,4.5
8,321197,4.0
5,1412204,4.5
2,10383031,4.0
7,506176,4.5
3,487762,4.5
3,5115902,4.0
3,1600312,4.0
4,315463,4.0
7,2050646,4.5
7,1967816,4.5
7,500616,4.0
2,1843641,4.5
2,1652601,4.0
7,9757726,4.5
2,502831,4.0
8,3655907,4.0
2,317431,4.0
9,487768,4.0
4,321173,4.0
9,324508,4.0
7,1856056,4.5
4,1438183,4.0
10,1856149,4.5
1,320540,4.0
9,1814838,4.0
5,553954,4.5
6,324515,4.0
2,1851771,4.0
7,2050176,4.0
5,3362214,4.0
1,311610,4.0
5,502224,4.5
5,1807894,4.0
3,1776172,4.0
1,1699740,4.0
9,589348,4.0
9,1793348,4.0
6,554945,4.0
1,1813910,4.5
7,946706,4.5
8,4178437,4.0
6,311585,4.0
8,1979857,4.0
7,490506,4.0
1,9727110,5.0
10,1832089,4.0
9,503338,4.0
6,2643455,4.5
2,1864491,4.0
10,2296809,4.0
1,1814790,4.0
2,1774311,4.0
5,1814014,4.0
9,1801568,4.0
4,446843,4.0
7,319156,4.5
6,2050635,4.0
9,11670928,4.5
6,2051285,4.5
2,512061,4.5
5,488224,4.5
5,320284,4.0
3,639992,4.0
4,8786843,5.0
2,968201,4.0
1,1825210,4.0
1,1832090,4.0
7,386916,4.0
7,1851046,4.0
9,1979768,4.5
6,593175,4.0
3,504962,4.0
7,1848326,4.5
8,10788767,4.0
6,321115,4.0
6,489115,4.5
1,2535490,4.0
7,3374126,4.0
1,2003190,4.5
9,593158,4.0
8,1793297,4.0
10,311609,4.0
10,1834249,4.5
8,512047,4.5
5,1372924,4.0
3,2136182,4.0
3,15183002,5.0
7,1834476,4.5
7,13422496,5.0
7,1801266,4.5
9,1372928,4.0
8,311537,4.0
3,508982,4.0
10,324169,4.0
8,2003247,4.0
8,2224777,4.0
9,1810618,4.0
10,457099,4.5
2,1675221,4.0
9,1652948,4.0
8,10020327,4.5
5,2465954,4.0
4,379323,4.0
1,3247950,4.5
3,593142,4.0
7,2210636,4.0
4,447493,4.0
3,2050662,4.5
7,1834436,4.5
10,503339,4.0
2,1131761,4.5
1,338320,4.5
2,1724071,4.5
10,605769,4.5
2,1824671,4.5
5,4810344,4.0
9,1986258,4.0
8,1758117,4.0
10,593139,4.0
3,1814702,4.5
2,1814061,4.0
9,325808,4.5
3,513622,4.5
1,504960,4.0
1,1814120,4.0
2,3922441,4.0
1,3440050,4.0
8,446837,4.0
9,325708,4.0
1,1944740,4.0
2,624841,4.5
7,507266,4.0
3,1814672,4.0
4,1551853,4.0
5,486974,4.0
4,1808103,4.5
5,1584784,4.0
2,1793491,4.0
2,1372931,4.5
5,315464,4.5
9,593058,4.0
10,324509,4.0
6,311605,4.0
10,1827089,4.5
2,13391021,4.5
3,311552,4.0
3,488232,4.5
4,1979813,4.5
6,549395,4.0
7,568756,4.0
5,2068774,4.0
1,324010,4.5
6,3362245,4.0
8,506717,4.5
1,311540,4.0
5,502244,4.5
8,1834787,4.5
10,2050639,4.0
6,553965,4.0
7,593196,4.5
10,662499,4.0
4,1799913,4.0
5,488834,4.0
4,2630813,4.5
7,488516,4.0
9,2050648,4.5
8,593057,4.0
4,1515763,4.5
7,1793486,4.5
4,550693,4.0
10,537989,4.5
1,1805650,4.0
7,379316,4.0
9,537988,4.5
6,3642985,4.5
7,593126,4.0
1,354070,4.5
1,311560,4.5
4,1805383,4.5
9,1969398,4.5
2,512881,4.5
2,311581,4.5
10,593179,4.5
8,502857,4.0
6,507265,4.0
7,2165996,4.0
7,1848696,4.5
9,490438,4.0
5,491514,4.0
7,311596,4.0
7,487346,4.5
5,1810174,4.5
3,1801032,4.5
2,619161,4.5
8,506067,4.5
9,2051368,4.5
9,1367748,4.5
1,505700,4.5
7,1801596,4.5
10,505709,4.5
10,546319,4.5
1,324050,4.5
9,325698,4.5
8,487767,4.5
9,5772378,4.5
7,490456,4.5
9,505448,4.5
9,311568,4.5
4,457063,4.5
10,543459,4.5
2,1856221,4.5
3,14143982,4.5
6,2411005,5.0
7,1810486,4.5
4,459903,4.0
8,1793347,4.5
5,2515594,4.5
2,600741,4.5
3,1807942,4.5
3,548212,4.5
10,1793529,4.5
10,319629,4.5
6,1402765,4.5
2,1999601,4.5
5,6419024,4.5
4,1827023,4.5
6,1143615,4.5
6,506715,4.5
6,507665,4.5
1,1868250,4.5
1,4354590,4.5
1,2003650,4.5
10,1793489,4.5
7,1807946,4.5
8,386907,4.5
3,1979452,4.5
9,1842718,4.5
4,1238293,4.5
4,541893,4.5
3,311602,4.5
4,505713,4.5
10,324259,4.5
8,1799127,4.5
3,2051212,4.5
3,315462,4.5
8,321177,4.5
9,1813978,4.5
7,506206,4.5
3,9865532,4.5
5,604894,4.5
4,487343,4.5
2,498751,4.5
10,1856069,4.5
7,311586,4.5
7,510056,5.0
2,505721,4.5
2,1769021,4.5
1,319640,4.5
8,7256947,4.5
2,1979451,4.5
9,543118,4.5
2,1859621,4.5
6,319625,4.5
7,311546,4.5
4,1826843,4.5
8,1793487,4.5
5,488514,4.5
1,487320,4.5
1,1839660,4.5
8,2297317,4.5
7,486976,4.5
3,505432,4.5
4,2415693,4.5
9,1793488,4.5
7,1834796,4.5
10,319609,4.5
9,2050638,4.5
4,517693,4.5
8,12148927,4.5
4,8113653,4.5
4,457103,4.5
4,486973,4.5
4,1799163,4.5
10,1801219,4.5
6,325695,4.5
5,554654,4.5
2,1871041,4.5
1,491400,4.5
