location_id,display_name
1,黄花城长城
2,拉萨大昭寺
3,八角街
4,亚龙湾
5,古北水镇
6,TUNTHEIN MR
7,中华恐龙园
8,广州大剧院
9,成都人民公园
10,拙政园
11,澳门旅游塔会展娱乐中心
12,西安钟楼
13,荐福寺小雁塔
14,夫子庙景区
15,香港动植物公园
16,三里屯太古里
17,客家土楼
18,滕王阁
19,华强北路商业区
20,人民广场
21,香港朗豪坊
22,三亚湾
23,栈桥
24,上海欢乐谷
25,中环海滨摩天轮
26,钟鼓楼
27,厦门菽庄花园
28,东川红土地
29,长隆水上乐园
30,国际金融中心一期
31,老龙头
32,中山路步行街
33,香港杜莎夫人蜡像馆
34,上海中华艺术宫
35,喜洲镇
36,月亮山
37,罗布林卡
38,长江
39,义乌国际商贸城
40,上海城隍庙
41,丹霞山地质公园
42,大连中山广场
43,安徽九华山
44,壶口瀑布
45,圣约翰座堂
46,维多利亚公园
47,厦门钢琴博物馆
48,山顶缆车
49,黄龙洞
50,北京大学
51,甘丹寺
52,凤凰虹桥
53,亚丁风景区
54,长白山天池
55,蜈支洲岛
56,昆明西山森林公园
57,圣索菲亚教堂
58,古文化街
59,中国茶叶博物馆
60,圣方济各圣堂
61,伏尔加庄园
62,六和塔
63,三亚大小洞天景区
64,车公庙
65,上环
66,植物园
67,银子岩景区
68,金光大道度假区
69,龙环葡韵住宅式博物馆
70,玫瑰圣母堂
71,厦门园林植物园
72,深圳世界之窗
73,Happy Dragon Tour
74,议事亭前地
75,河坊街
76,五台山
77,妈阁庙
78,森林动物园
79,少林寺
80,奥林匹克森林公园
81,上海迪士尼乐园
82,卢廉若公园
83,开元寺
84,成都春熙路步行街
85,深圳东部华侨城
86,文武庙
87,麦理浩径
88,上海磁浮交通科技馆
89,白马寺
90,梧桐山
91,雷峰塔
92,安顺桥
93,屯溪老街
94,豫园老街
95,香港海洋公园
96,寒山寺
97,南京路
98,华清宫
99,黄花城水长城
100,1933老场坊
101,德天风景区
102,香港会议展览中心
103,解放碑广场
104,恭王府
105,西安鼓楼
106,索菲亚广场
107,花墟道
108,香港国际金融中心商场
109,玉渊潭公园
110,交河故城
111,天一广场
112,1881 Heritage
113,前门大街商业街
114,湾仔
115,潘家园旧货市场
116,大理古城
117,盘门
118,普达措国家公园
119,静安雕塑公园
120,静安寺
121,青岛天主教堂
122,千岛湖
123,丽江千古情景区
124,宽窄巷子
125,天涯海角
126,沪西大剧院
127,广东省博物馆新馆
128,海港城
129,洪崖洞
130,月牙泉风景名胜区
131,太湖鼋头渚
132,钟鼓楼广场
133,大炮台
134,武当山国家地质公园
135,太古广场
136,佛山岭南天地
137,广州中山大学
138,天山天池
139,避暑山庄
140,兰桂坊
141,深圳欢乐谷
142,Beijing Airport Layover Tour
143,奥林匹克公园
144,珠海情侣路
145,锦里步行街
146,黑龙潭公园
147,三坊七巷和朱紫坊建筑群
148,延庆八达岭残长城
149,九龙城寨公园
150,黄鹤楼
151,北陵公园
152,澳门巴黎铁塔
153,民政总署大楼
154,长白山
155,氹仔村
156,亚太新阳服饰礼品市场
157,龙胜龙脊山
158,旺角
159,M50创意园
160,黄大仙祠
161,珍珠滩瀑布
162,卡拉库里湖
163,越秀山
164,圆方广场
165,Mary’s Xian Tours
166,青秀山
167,海豚湾
